protein_group	protein_names	genes	description	molecular_weight_kda	sequence_length
P22897	MRC1_HUMAN	MRC1	Macrophage mannose receptor 1 OS=Homo sapiens OX=9606 GN=MRC1 PE=1 SV=1	166.0116	1456.0
Q96FQ6	S10AG_HUMAN	S100A16	Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1	11.8014	103.0
P00451	FA8_HUMAN	F8	Coagulation factor VIII OS=Homo sapiens OX=9606 GN=F8 PE=1 SV=1	267.0094	2351.0
P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2	195.9811	1798.0
P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1	27.3995	246.0
Q9BXX0	EMIL2_HUMAN	EMILIN2	EMILIN-2 OS=Homo sapiens OX=9606 GN=EMILIN2 PE=1 SV=3	115.6872	1053.0
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1	29.4838	261.0
Q9BXD5	NPL_HUMAN	NPL	N-acetylneuraminate lyase OS=Homo sapiens OX=9606 GN=NPL PE=1 SV=1	35.1625	320.0
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2	28.4332	255.0
Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2	41.3508	397.0
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2	25.8986	234.0
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1	29.5556	263.0
P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	94.973	866.0
Q9BRK5	CAB45_HUMAN	SDF4	45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1	41.8068	362.0
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	333.1468	3063.0
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1	112.5881	1005.0
Q99941	ATF6B_HUMAN	ATF6B	Cyclic AMP-dependent transcription factor ATF-6 beta OS=Homo sapiens OX=9606 GN=ATF6B PE=1 SV=2	76.7092	703.0
P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6	138.9115	1464.0
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4	29.2042	264.0
P21549	AGT1_HUMAN	AGXT	Alanine--glyoxylate aminotransferase OS=Homo sapiens OX=9606 GN=AGXT PE=1 SV=1	43.0099	392.0
P21709	EPHA1_HUMAN	EPHA1	Ephrin type-A receptor 1 OS=Homo sapiens OX=9606 GN=EPHA1 PE=1 SV=4	108.1272	976.0
P54760	EPHB4_HUMAN	EPHB4	Ephrin type-B receptor 4 OS=Homo sapiens OX=9606 GN=EPHB4 PE=1 SV=2	108.2702	987.0
Q9H3R1	NDST4_HUMAN	NDST4	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4 OS=Homo sapiens OX=9606 GN=NDST4 PE=1 SV=1	100.7157	872.0
P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	28.3026	247.0
Q8WUA8	TSK_HUMAN	TSKU	Tsukushi OS=Homo sapiens OX=9606 GN=TSKU PE=1 SV=3	37.8074	353.0
P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein OS=Homo sapiens OX=9606 GN=PLTP PE=1 SV=1	54.7394	493.0
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4	25.3577	239.0
P80108	PHLD_HUMAN	GPLD1	Phosphatidylinositol-glycan-specific phospholipase D OS=Homo sapiens OX=9606 GN=GPLD1 PE=1 SV=3	92.3365	840.0
Q5SZK8	FREM2_HUMAN	FREM2	FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=3	351.1669	3169.0
P23280	CAH6_HUMAN	CA6	Carbonic anhydrase 6 OS=Homo sapiens OX=9606 GN=CA6 PE=1 SV=3	35.3668	308.0
P08519	APOA_HUMAN	LPA	Apolipoprotein(a) OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=2	226.5458	2040.0
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand OS=Homo sapiens OX=9606 GN=ICOSLG PE=1 SV=2	33.3488	302.0
Q53RD9	FBLN7_HUMAN	FBLN7	Fibulin-7 OS=Homo sapiens OX=9606 GN=FBLN7 PE=1 SV=1	47.3757	439.0
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2	34.2587	298.0
Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1	45.5313	389.0
Q96KN2	CNDP1_HUMAN	CNDP1	Beta-Ala-His dipeptidase OS=Homo sapiens OX=9606 GN=CNDP1 PE=1 SV=5	56.6921	507.0
Q15166	PON3_HUMAN	PON3	Serum paraoxonase/lactonase 3 OS=Homo sapiens OX=9606 GN=PON3 PE=1 SV=3	39.6075	354.0
P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2	16.0555	147.0
O75882	ATRN_HUMAN	ATRN	Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2	158.5369	1429.0
P02730	B3AT_HUMAN	SLC4A1	Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3	101.7923	911.0
O95445	APOM_HUMAN	APOM	Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2	21.2533	188.0
Q76LX8	ATS13_HUMAN	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Homo sapiens OX=9606 GN=ADAMTS13 PE=1 SV=1	153.6045	1427.0
P58335	ANTR2_HUMAN	ANTXR2	Anthrax toxin receptor 2 OS=Homo sapiens OX=9606 GN=ANTXR2 PE=1 SV=5	53.6662	489.0
P05556	ITB1_HUMAN	ITGB1	Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2	88.4153	798.0
P05019	IGF1_HUMAN	IGF1	Insulin-like growth factor 1 OS=Homo sapiens OX=9606 GN=IGF1 PE=1 SV=1	21.8412	195.0
Q9UKU6	TRHDE_HUMAN	TRHDE	Thyrotropin-releasing hormone-degrading ectoenzyme OS=Homo sapiens OX=9606 GN=TRHDE PE=1 SV=2	122.1334	1069.0
Q86WI1	PKHL1_HUMAN	PKHD1L1	Fibrocystin-L OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=1 SV=2	465.7344	4243.0
P55056	APOC4_HUMAN	APOC4	Apolipoprotein C-IV OS=Homo sapiens OX=9606 GN=APOC4 PE=1 SV=1	14.5531	127.0
P05106	ITB3_HUMAN	ITGB3	Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2	87.0578	788.0
P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens OX=9606 GN=GCLM PE=1 SV=1	30.7271	274.0
Q9P232	CNTN3_HUMAN	CNTN3	Contactin-3 OS=Homo sapiens OX=9606 GN=CNTN3 PE=1 SV=3	112.8827	1028.0
P63241	IF5A1_HUMAN	EIF5A	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2	16.8323	154.0
P29622	KAIN_HUMAN	SERPINA4	Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3	48.542	427.0
P01601	KVD16_HUMAN	IGKV1D-16	Immunoglobulin kappa variable 1D-16 OS=Homo sapiens OX=9606 GN=IGKV1D-16 PE=1 SV=2	12.7304	117.0
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	47.4638	422.0
P68871	HBB_HUMAN	HBB	Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2	15.9984	147.0
P69905	HBA_HUMAN	HBA1	Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2	15.2576	142.0
P07355	ANXA2_HUMAN	ANXA2	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	38.604	339.0
P15085	CBPA1_HUMAN	CPA1	Carboxypeptidase A1 OS=Homo sapiens OX=9606 GN=CPA1 PE=1 SV=2	47.1403	419.0
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D OS=Homo sapiens OX=9606 GN=IGHV2-70D PE=1 SV=1	13.3125	119.0
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2	44.9607	410.0
Q9UHG3	PCYOX_HUMAN	PCYOX1	Prenylcysteine oxidase 1 OS=Homo sapiens OX=9606 GN=PCYOX1 PE=1 SV=3	56.6401	505.0
Q15063	POSTN_HUMAN	POSTN	Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2	93.314	836.0
P10645	CMGA_HUMAN	CHGA	Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7	50.6884	457.0
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3	40.6485	366.0
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7 OS=Homo sapiens OX=9606 GN=IGKV3-7 PE=1 SV=1	12.7835	116.0
Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1	41.5642	360.0
P05362	ICAM1_HUMAN	ICAM1	Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2	57.8252	532.0
P05451	REG1A_HUMAN	REG1A	Lithostathine-1-alpha OS=Homo sapiens OX=9606 GN=REG1A PE=1 SV=3	18.731	166.0
P06280	AGAL_HUMAN	GLA	Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1	48.7668	429.0
Q86U17	SPA11_HUMAN	SERPINA11	Serpin A11 OS=Homo sapiens OX=9606 GN=SERPINA11 PE=1 SV=2	46.9892	422.0
P06858	LIPL_HUMAN	LPL	Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1	53.1625	475.0
Q86SF2	GALT7_HUMAN	GALNT7	N-acetylgalactosaminyltransferase 7 OS=Homo sapiens OX=9606 GN=GALNT7 PE=1 SV=1	75.3891	657.0
Q7Z304	MAMC2_HUMAN	MAMDC2	MAM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MAMDC2 PE=1 SV=3	77.5557	686.0
P07585	PGS2_HUMAN	DCN	Decorin OS=Homo sapiens OX=9606 GN=DCN PE=1 SV=1	39.7468	359.0
P07711	CATL1_HUMAN	CTSL	Procathepsin L OS=Homo sapiens OX=9606 GN=CTSL PE=1 SV=2	37.5641	333.0
P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	84.6597	732.0
Q6UX06	OLFM4_HUMAN	OLFM4	Olfactomedin-4 OS=Homo sapiens OX=9606 GN=OLFM4 PE=1 SV=1	57.2798	510.0
Q6JBY9	CPZIP_HUMAN	RCSD1	CapZ-interacting protein OS=Homo sapiens OX=9606 GN=RCSD1 PE=1 SV=1	44.5039	416.0
Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1	213.7023	1907.0
P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14 OS=Homo sapiens OX=9606 GN=CD14 PE=1 SV=2	40.0762	375.0
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	29.1303	282.0
P0DJD8	PEPA3_HUMAN	PGA3	Pepsin A-3 OS=Homo sapiens OX=9606 GN=PGA3 PE=1 SV=1	41.9762	388.0
Q14393	GAS6_HUMAN	GAS6	Growth arrest-specific protein 6 OS=Homo sapiens OX=9606 GN=GAS6 PE=1 SV=3	74.9253	678.0
P78509	RELN_HUMAN	RELN	Reelin OS=Homo sapiens OX=9606 GN=RELN PE=1 SV=3	388.3876	3460.0
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3	12.7118	118.0
P63098	CANB1_HUMAN	PPP3R1	Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2	19.2999	170.0
P63208	SKP1_HUMAN	SKP1	S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2	18.658	163.0
P63316	TNNC1_HUMAN	TNNC1	Troponin C, slow skeletal and cardiac muscles OS=Homo sapiens OX=9606 GN=TNNC1 PE=1 SV=1	18.4025	161.0
P28676	GRAN_HUMAN	GCA	Grancalcin OS=Homo sapiens OX=9606 GN=GCA PE=1 SV=2	24.01	217.0
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3	30.3543	276.0
P27824	CALX_HUMAN	CANX	Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2	67.5683	592.0
P27797	CALR_HUMAN	CALR	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	48.1416	417.0
P31025	LCN1_HUMAN	LCN1	Lipocalin-1 OS=Homo sapiens OX=9606 GN=LCN1 PE=1 SV=1	19.25	176.0
P24592	IBP6_HUMAN	IGFBP6	Insulin-like growth factor-binding protein 6 OS=Homo sapiens OX=9606 GN=IGFBP6 PE=1 SV=1	25.3224	240.0
P98066	TSG6_HUMAN	TNFAIP6	Tumor necrosis factor-inducible gene 6 protein OS=Homo sapiens OX=9606 GN=TNFAIP6 PE=1 SV=2	31.2033	277.0
P30530	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4	98.3367	894.0
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2	50.5827	447.0
Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3	141.6949	1278.0
P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13 OS=Homo sapiens OX=9606 GN=HSPA13 PE=1 SV=1	51.9275	471.0
P48681	NEST_HUMAN	NES	Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2	177.4389	1621.0
P48595	SPB10_HUMAN	SERPINB10	Serpin B10 OS=Homo sapiens OX=9606 GN=SERPINB10 PE=1 SV=1	45.4027	397.0
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens OX=9606 GN=PPIC PE=1 SV=1	22.7633	212.0
P59190	RAB15_HUMAN	RAB15	Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=1	24.3906	212.0
P36268	GGT2_HUMAN	GGT2P	Inactive glutathione hydrolase 2 OS=Homo sapiens OX=9606 GN=GGT2P PE=1 SV=3	61.771	569.0
P61769	B2MG_HUMAN	B2M	Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1	13.7146	119.0
P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1	23.6682	207.0
P35555	FBN1_HUMAN	FBN1	Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	312.2975	2871.0
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	94.3309	840.0
P34096	RNAS4_HUMAN	RNASE4	Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3	16.8405	147.0
P61626	LYSC_HUMAN	LYZ	Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1	16.537	148.0
P24387	CRHBP_HUMAN	CRHBP	Corticotropin-releasing factor-binding protein OS=Homo sapiens OX=9606 GN=CRHBP PE=1 SV=2	36.1444	322.0
P98160	PGBM_HUMAN	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	468.83	4391.0
P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	59.4254	528.0
Q12805	FBLN3_HUMAN	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2	54.6406	493.0
Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36 OS=Homo sapiens OX=9606 GN=LMAN2 PE=1 SV=1	40.2287	356.0
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4	117.9685	1019.0
P14598	NCF1_HUMAN	NCF1	Neutrophil cytosol factor 1 OS=Homo sapiens OX=9606 GN=NCF1 PE=1 SV=4	44.6819	390.0
P13805	TNNT1_HUMAN	TNNT1	Troponin T, slow skeletal muscle OS=Homo sapiens OX=9606 GN=TNNT1 PE=1 SV=4	32.9482	278.0
Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3	15.1644	135.0
P13497	BMP1_HUMAN	BMP1	Bone morphogenetic protein 1 OS=Homo sapiens OX=9606 GN=BMP1 PE=1 SV=2	111.2487	986.0
P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	49.9735	461.0
P12830	CADH1_HUMAN	CDH1	Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3	97.4562	882.0
Q14165	MLEC_HUMAN	MLEC	Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1	32.2339	292.0
P18827	SDC1_HUMAN	SDC1	Syndecan-1 OS=Homo sapiens OX=9606 GN=SDC1 PE=1 SV=3	32.4616	310.0
P19022	CADH2_HUMAN	CDH2	Cadherin-2 OS=Homo sapiens OX=9606 GN=CDH2 PE=1 SV=4	99.8093	906.0
P19320	VCAM1_HUMAN	VCAM1	Vascular cell adhesion protein 1 OS=Homo sapiens OX=9606 GN=VCAM1 PE=1 SV=1	81.2762	739.0
Q08174	PCDH1_HUMAN	PCDH1	Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=2	114.7434	1060.0
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2	53.1654	471.0
Q03167	TGBR3_HUMAN	TGFBR3	Transforming growth factor beta receptor type 3 OS=Homo sapiens OX=9606 GN=TGFBR3 PE=1 SV=3	93.4994	851.0
Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4	69.9484	620.0
P22223	CADH3_HUMAN	CDH3	Cadherin-3 OS=Homo sapiens OX=9606 GN=CDH3 PE=1 SV=2	91.4184	829.0
Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4	28.2187	246.0
Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1	28.7231	249.0
P20774	MIME_HUMAN	OGN	Mimecan OS=Homo sapiens OX=9606 GN=OGN PE=1 SV=1	33.9222	298.0
Q8N2S1	LTBP4_HUMAN	LTBP4	Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2	173.4352	1624.0
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	83.2642	724.0
Q8N8K9	K1958_HUMAN	KIAA1958	Uncharacterized protein KIAA1958 OS=Homo sapiens OX=9606 GN=KIAA1958 PE=1 SV=1	79.2122	716.0
P01701	LV151_HUMAN	IGLV1-51	Immunoglobulin lambda variable 1-51 OS=Homo sapiens OX=9606 GN=IGLV1-51 PE=1 SV=2	12.2487	117.0
Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z OS=Homo sapiens OX=9606 GN=CTSZ PE=1 SV=1	33.8679	303.0
P01699	LV144_HUMAN	IGLV1-44	Immunoglobulin lambda variable 1-44 OS=Homo sapiens OX=9606 GN=IGLV1-44 PE=1 SV=2	12.2014	117.0
Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29 OS=Homo sapiens OX=9606 GN=VPS29 PE=1 SV=1	20.5057	182.0
Q9BUD6	SPON2_HUMAN	SPON2	Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4	35.7883	331.0
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	84.1421	748.0
P01599	KV117_HUMAN	IGKV1-17	Immunoglobulin kappa variable 1-17 OS=Homo sapiens OX=9606 GN=IGKV1-17 PE=1 SV=2	12.7785	117.0
Q99542	MMP19_HUMAN	MMP19	Matrix metalloproteinase-19 OS=Homo sapiens OX=9606 GN=MMP19 PE=1 SV=1	57.357	508.0
Q9UBX5	FBLN5_HUMAN	FBLN5	Fibulin-5 OS=Homo sapiens OX=9606 GN=FBLN5 PE=1 SV=1	50.1805	448.0
P01833	PIGR_HUMAN	PIGR	Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4	83.2836	764.0
A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35 OS=Homo sapiens OX=9606 GN=IGHV3-35 PE=1 SV=1	12.8104	117.0
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=1 SV=1	12.5151	116.0
Q9UL46	PSME2_HUMAN	PSME2	Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4	27.4016	239.0
Q9UKU9	ANGL2_HUMAN	ANGPTL2	Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1	57.1045	493.0
Q9UK05	GDF2_HUMAN	GDF2	Growth/differentiation factor 2 OS=Homo sapiens OX=9606 GN=GDF2 PE=1 SV=1	47.3205	429.0
P02545	LMNA_HUMAN	LMNA	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	74.1395	664.0
P02144	MYG_HUMAN	MB	Myoglobin OS=Homo sapiens OX=9606 GN=MB PE=1 SV=2	17.1838	154.0
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=1 SV=1	12.8226	117.0
Q96RD9	FCRL5_HUMAN	FCRL5	Fc receptor-like protein 5 OS=Homo sapiens OX=9606 GN=FCRL5 PE=1 SV=3	106.4372	977.0
Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EHD2 PE=1 SV=2	61.1614	543.0
O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11 OS=Homo sapiens OX=9606 GN=PPP1R11 PE=1 SV=1	13.9525	126.0
Q9NR99	MXRA5_HUMAN	MXRA5	Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3	312.1503	2828.0
Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2	72.5958	650.0
Q9NPY3	C1QR1_HUMAN	CD93	Complement component C1q receptor OS=Homo sapiens OX=9606 GN=CD93 PE=1 SV=3	68.56	652.0
Q9NPR2	SEM4B_HUMAN	SEMA4B	Semaphorin-4B OS=Homo sapiens OX=9606 GN=SEMA4B PE=1 SV=4	92.766	837.0
P00480	OTC_HUMAN	OTC	Ornithine transcarbamylase, mitochondrial OS=Homo sapiens OX=9606 GN=OTC PE=1 SV=3	39.9351	354.0
O75787	RENR_HUMAN	ATP6AP2	Renin receptor OS=Homo sapiens OX=9606 GN=ATP6AP2 PE=1 SV=2	39.008	350.0
O75976	CBPD_HUMAN	CPD	Carboxypeptidase D OS=Homo sapiens OX=9606 GN=CPD PE=1 SV=2	152.9311	1380.0
O75995	SASH3_HUMAN	SASH3	SAM and SH3 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SASH3 PE=1 SV=2	41.5955	380.0
O95967	FBLN4_HUMAN	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=EFEMP2 PE=1 SV=3	49.4055	443.0
Q9H173	SIL1_HUMAN	SIL1	Nucleotide exchange factor SIL1 OS=Homo sapiens OX=9606 GN=SIL1 PE=1 SV=1	52.0847	461.0
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3	47.075	434.0
P01034	CYTC_HUMAN	CST3	Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1	15.7992	146.0
O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2	52.7754	470.0
O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF OS=Homo sapiens OX=9606 GN=VGF PE=1 SV=2	67.2579	615.0
Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1	37.5518	334.0
P01033	TIMP1_HUMAN	TIMP1	Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1	23.1709	207.0
Q9BXR6	FHR5_HUMAN	CFHR5	Complement factor H-related protein 5 OS=Homo sapiens OX=9606 GN=CFHR5 PE=1 SV=1	64.4194	569.0
