Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con1_GD6_1_50906.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con2_GD7_1_50908.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con3_GD8_1_50910.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con4_GD9_1_50912.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con5_GD10_1_50914.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con6_GD11_1_50916.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con7_GD12_1_50918.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con8_GE1_1_50920.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con9_GE2_1_50922.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con10_GE3_1_50924.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con11_GE4_1_50926.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con12_GE5_1_50928.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con13_GE6_1_50930.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con14_GE7_1_50932.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con15_GE8_1_50934.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP1_GF12_1_50970.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP2_GG1_1_50972.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP3_GG2_1_50974.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP4_GG3_1_50976.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP5_GG4_1_50978.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP6_GG5_1_50980.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP7_GG6_1_50982.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP8_GG7_1_50984.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP9_GG8_1_50986.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP10_GG9_1_50988.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP11_GG10_1_50990.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP12_GG11_1_50992.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP13_GG12_1_50994.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP14_GH1_1_50996.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP15_GH2_1_50998.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP1_GE9_1_50938.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP2_GE10_1_50940.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP3_GE11_1_50942.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP4_GE12_1_50944.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP5_GF1_1_50946.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP6_GF2_1_50948.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP7_GF3_1_50950.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP8_GF4_1_50952.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP9_GF5_1_50954.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP10_GF6_1_50956.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP11_GF7_1_50958.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP12_GF8_1_50960.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP13_GF9_1_50962.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP14_GF10_1_50964.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP15_GF11_1_50966.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix1_GH3_1_50936.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix2_GH3_1_50968.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix3_GH3_1_51000.d
P07093	GDN_HUMAN	SERPINE2	Glia-derived nexin	2831.76	3843.49	1963.73	2878.53	984.093	2628.62	1771.52	1990		1973.68		1541.05	1756.27						1070.67	2086.84				6268.08	1557.92	912.543	1391.91		1738.15	1135.83		706.394	1435.18	2357.84			1621.41				4498.72	4466.63			3106.24			1504.17
P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1				1560.87															11954.5								5661.32		4035.2	5593.72					8748.17					4022.54	1689.09			4478.5	14456.5		4090.31	2379.38
P07148	FABPL_HUMAN	FABP1	Fatty acid-binding protein, liver	4690.68	4139.12	2189.68	4623.03	17491.1	8547.86	9328.78	6223.79	2497.44		5678.91	4504.34	3148.81	5535.19	11594.2	17252.2		11709.3	14860.9	12383.7	9409.73		7239.95	10762.5	40362	12459.8	13275.3		12938.7	10091.7	2426.95	3649.1		6209.59			18585.3	6581.66		8193.72	4074.91	7414.07	4375.79	7834.93	12503	9070.23	11814	11971.4
P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	32953.9	34190.6	19409.4	36183.6	31332.2	22770.6	20435.9	18796.3	16420.9	20004.5	34015.2	16587	36794.6	31884.7	13449.9	39199.2	11852.5	22940	39584.4	15359.2	20530.6	18486.3	20772.8	32234.3	38983.1	23009.2	16059.2	17104.8	14844.7	14753	10456.9	13925.9	10392.4	19320.9	30990.9	30402.9	13919.1	45287.3	10930.3	10658.8	22734.8	32568.1	15524.9	17453.2	24334.2	29510.3	29906.9	29856.3
P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1	8200.31	10706.7		9431.8		9510.5	3932.51	8328.4								3146.05		1976.86				6724.76						2690		3352.76		4026.4	4450.17		6410.64						6435.68	4325.9						
P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	9.19769e+06	9.13691e+06	9.18656e+06	1.02099e+07	9.20858e+06	7.6514e+06	9.3229e+06	1.02063e+07	7.86678e+06	1.11239e+07	1.06162e+07	1.02691e+07	7.34175e+06	7.91056e+06	9.2037e+06	9.38726e+06	6.55586e+06	1.00354e+07	8.76148e+06	9.59528e+06	1.00631e+07	8.24457e+06	9.39849e+06	1.04582e+07	8.19967e+06	9.63504e+06	8.47426e+06	8.05789e+06	8.6253e+06	8.24264e+06	8.99596e+06	9.48098e+06	9.42144e+06	9.06586e+06	6.10068e+06	7.10205e+06	9.70179e+06	7.11737e+06	8.34352e+06	8.8312e+06	6.43041e+06	6.5925e+06	1.46388e+07	9.75414e+06	7.16902e+06	8.85992e+06	9.25059e+06	9.12355e+06
P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	196501	188084	119370	204143	136220	115482	140981	97760.4	119973	139872	165756	149790	83332.3	124253	161273	173210	135917	227196	268620	177259	195481	164164	121358	197931	135881	121614	155840	145036	186240	162607	106507	122149	134458	178922	248588	84528.1	181017	152085	190766	159063	199635	100836	109952	150930	322154	184665	177483	183268
P07307	ASGR2_HUMAN	ASGR2	Asialoglycoprotein receptor 2	16519	14452.8	12470.1	12189.7	21499.1	13958.1	9285.38	6073.99	12682.3	16479.3	21143.5	14879.6	57531.5	15930.3	12088.4	16253.7	12420.7	15104.7	57281.2	8738.5	9970.64	29895.8	28128.8	23124.8	23304.4	26232.4	11758.4	15404.1	9356.6	10778.3	11118.2	9131.94	6376.36	13080.5	24264.9	123384	31876.8	37920.2	15046.5	20996.6	25593.3	20599	8546.93	29525	16158.3	19651.5	20223.7	26122.6
P07327	ADH1A_HUMAN	ADH1A	Alcohol dehydrogenase 1A							7161.21					6208.15								2838	2647.94				5347.86		3799.58		5111.18			9348.78	10736	2502.66	15111.7					4826.63								2975.5
P07333	CSF1R_HUMAN	CSF1R	Macrophage colony-stimulating factor 1 receptor	30502.4	30798.2	32453.3	32469.4	34430.6	40041.8	26277.7	26859.2	40812	17381.5	34109.3	51846.7	53346.5	38514.6	64341.7	9650.11	8581.24	43626	12139.6	17537.6	17198.6	20713.5	93825.1	18158	9486.28	73670.8	56404.5	9023.77	69725	63365	38411.4	25770	23124.4	15418.2	6410.83	50752.6	53504.6	9583.22	30980.8	157290	44629.9	91238.6	16509.4	24751.3	52751.3	32770.5	17943	18337.3
P07339	CATD_HUMAN	CTSD	Cathepsin D	31333.9	36765.3	38766	30194.1	36411.3	48968.7	46262.9	19944.2	41360.5	28926.6	44374.4	44357.6	40901.8	30379.5	56470.9	37638.7	57629.9	25204.6	68329.6	26234.5	22717.4	29643.7	33907.8	64957.1	20905.9	34343.6	107455	66693.7	82147.8	81664.9	18047.5	24448.8	20842.7	37610.9	87993.2	56768.6	42090.3	23909.4	41475.8	27308.4	75091.8	61580.4	33909.4	47484.8	83679.8	38607.2	43471.3	39732.4
P07355	ANXA2_HUMAN	ANXA2	Annexin A2	16638.8	10286.5	26280	12659.5	10138	7949.06	14394.9	17704.5	19004.7	16494.2	22241.1	7232.41	13051.6	13125.6	8925.99	9216.42	7567.65	8026.15	5123.63	4689.06	4307.11	13769.5	5879.48	9579.61	10553.6	9048.19	9522.56	13911	10810.4	18366	19527.2	12897.4	12224	16161	10748	9737.59	11644.3	7246.61	10952	19070.4	4709.01	4524.49	9504.15	5226.09	17101.9	13615.8	10860.8	14959.4
P07357	CO8A_HUMAN	C8A	Complement component C8 alpha chain	1.29958e+06	1.44798e+06	1.33956e+06	1.42639e+06	1.23099e+06	1.6307e+06	1.81805e+06	1.26838e+06	1.3403e+06	1.49823e+06	1.72677e+06	1.5287e+06	1.10731e+06	1.45228e+06	1.52212e+06	1.20971e+06	1.8707e+06	842960	1.39123e+06	1.55869e+06	1.49686e+06	1.20567e+06	1.46599e+06	1.24597e+06	1.55566e+06	1.33454e+06	1.49135e+06	1.76065e+06	1.44476e+06	1.41051e+06	1.1944e+06	1.69787e+06	1.83699e+06	1.43482e+06	1.26323e+06	1.21966e+06	1.14961e+06	1.13278e+06	1.60964e+06	1.00474e+06	1.31399e+06	1.33092e+06	1.31266e+06	1.44788e+06	1.34064e+06	1.05462e+06	1.02787e+06	1.02387e+06
P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	1.67297e+06	1.7612e+06	1.74514e+06	1.81279e+06	1.52986e+06	1.85595e+06	2.58583e+06	1.73138e+06	1.63637e+06	2.31403e+06	3.23638e+06	2.60016e+06	1.55029e+06	1.67633e+06	1.74889e+06	2.31727e+06	2.88827e+06	1.30225e+06	2.14242e+06	2.25064e+06	2.36815e+06	1.42202e+06	1.88787e+06	2.04425e+06	2.07067e+06	1.96673e+06	2.04395e+06	3.14879e+06	1.64478e+06	1.71449e+06	1.50775e+06	2.41375e+06	2.64156e+06	1.92041e+06	1.95115e+06	3.22565e+06	2.13144e+06	1.74364e+06	2.02132e+06	1.28844e+06	1.62448e+06	1.73699e+06	2.07201e+06	2.654e+06	1.83013e+06	1.80957e+06	1.79219e+06	1.76461e+06
P07359	GP1BA_HUMAN	GP1BA	Platelet glycoprotein Ib alpha chain	786348	891531	826295	832078	948831	1.39705e+06	631827	841444	876893	423462	217321	535030	1.16628e+06	589995	460642	778927	336014	659750	754200	600877	589573	917146	554205	1.08786e+06	931277	498520	965066	331739	890814	947958	549560	259724	279519	845627	946182	281082	421212	340561	392398	529750	1.39427e+06	677388	545513	405592	1.05119e+06	522687	512163	489102
P07360	CO8G_HUMAN	C8G	Complement component C8 gamma chain	1.99155e+06	2.16131e+06	2.10277e+06	2.17739e+06	1.66627e+06	1.69772e+06	2.34468e+06	1.97066e+06	1.72424e+06	2.10319e+06	2.17622e+06	2.26987e+06	1.25567e+06	1.96259e+06	1.89423e+06	1.45219e+06	2.37159e+06	1.31956e+06	1.83984e+06	2.13479e+06	2.16747e+06	1.33024e+06	1.42767e+06	1.56125e+06	1.66054e+06	1.37654e+06	2.11616e+06	2.40344e+06	1.95136e+06	1.93255e+06	1.59959e+06	1.75097e+06	2.09323e+06	1.66632e+06	1.53426e+06	1.96231e+06	1.43859e+06	1.60262e+06	2.01756e+06	1.32942e+06	1.652e+06	1.74994e+06	1.7738e+06	2.09414e+06	1.7556e+06	1.38764e+06	1.35317e+06	1.41866e+06
P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	105137	106400	37419.3	106293	70516.1	85778.1	83898.6	36651.4	35297.1	78809	89336	91215.2	71847.6	187446	45570.5	106923	43910.5	59952.6	107815	74092	75983.5	83368	56026.8	259160	168270	57433.4	74286.7	46764.2	82457.6	74965.7	52483.9	34124.1	42113.6	108298	153581	45207.8	66505.4	77201.6	67381.1	67365.9	105394	90805.9	66811.8	54502.7	99151.4	103599	100961	96265.3
P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	124524	140085	57635.6	126793	41276.2	69512	41480.8	72963	53649.7	42119.5	46671.1	36710.5	41484	57111	47773.1	59880.1	9225.21	52549.9	182434	33076.1	36166.1	103864	27762.7	76387.2	34080.2	30364.5	55568.3	8528.19	56401.9	58857.8	29086.8	22234.3	22389.3	95407.8	22628.7	10676.6	23751.1	14640.9	66466.6	54549.8	68611.4	62530.6	34832.4	15101.1	109285	49236.5	47191.3	47385
P07451	CAH3_HUMAN	CA3	Carbonic anhydrase 3	6694.01	7604.19	6415.68	8799.04	19592.9	10245.8	13225.8	6296.21	7079.46							24296.8		27260.8	22554.7	24092.5	30751.8	80404.9	14132.9		102189	12553.9	5216.76						4434.63		5157.63						28909.9	9546.67		6953.14	16613.5	23472.7	18588	22440.9
P07477	TRY1_HUMAN	PRSS1	Serine protease 1		19273.4	38001.2		30244.1		34490.1	74742.1	60449.2			14231.2	55450.5			31496.2	48755.6	20848.5	3872.33	3688.14	15194	127986	18971.6	125384		17588.5	22918.9		104741	19254.4		98086.7	102395	257671	31045.3		233047	14847.5	95209.5	150415	29155.6			139034	43493.5	70638.5	30181.8	
P07478	TRY2_HUMAN	PRSS2	Trypsin-2		2903.15	13731.6		7929.42	4134.84	14329.4		10402.5	5135.26	35545.4	9608.45	12901.9	9420.73	5028.85	29401.4		4775.42	17864.1		7046.75	42375.5	11770.8	25581.1	11471.6	12965.8	3868.45	3879.58	5877.22	3865.65		35639	68338	35139.1	16045.8	7577.83	23827.4	17342.5	22388.2	62200.6	6139.36	5737.87		26820.1	93795.8	5191.4	6246.48	8303.67
P07585	PGS2_HUMAN	DCN	Decorin	22870.9	7720.03	10599.9	20851	13638.7	11486.3	9829.49	5635.15	10981.9	11252.4	18862.4	7384.34		12710.7	12449.7	22004	11166.7	11555.6	29601.5	36693	39359.7	8849.92	23411.8	16265.1	16652	20314.4	31981.3	15570.2	27217.9	24095.3	3945.15	4234.04	6056.3	19737.5	8152.1	17656.6	4185.69	5489.83	6940.03	13712.8	36916.2	20015.8	23489.9	16099.3	24217.8	9762.66	13570.3	13725.2
P07602	SAP_HUMAN	PSAP	Prosaposin	6649.69	7447.99	5022.85	4059.96	5573.72	4879.65	7793	4163.89	9137.69	11657.5	4038.57				9021.79	9238.4		9374.4		18870.4	10493.1	5182.17	7334.61	10578.6	4148.24	5466.83	11188.9		9857.43	13345.9	8247.49		4818.8	10194.3					1246.43		19184.2	7336.48	9008.19	2959.23	3778.07	2874.66	5989.86	6572.17
P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	13641.7	9012.55	14105.8	9578.64	17170.6	19796.1	19114.6	12273.8	14830	8161.39	16757.2	18494.5	9576.3	13563.4	22293.4	13703.9	26193.5	9843.52	20732.5	16051.3	10166.7	16516.4	9208.81	21385.7	8158.44	8210.5	22956.9	25944	26280.5	23910.7	12843.8	7619.44	9829.06	18871.2	38942.2	21122.7	15609.4	15645.7	18129.3	19078.2	17170.9	22979.5	18237.6	15670.7	32939.9	14481	16422.8	14979.3
P07711	CATL1_HUMAN	CTSL	Procathepsin L	14999.2	13690.8	10442.9	15889	13472.3	14480.6	8680.43	9565.71	13117.4	11054.2	11606.2	12718.9	10006.5		13993.6	28830.5	12291.5	9140.05	26257.6	15118.4	13582.9	29961.2	32022.3	12145.6	9321.59	30682.1	24504.5	12244.3	25001.3	27577.3	10882.2	11198.2	13035.9	10829.1	22492.2		8361.06	14009.6	14761.9	11878.7	18531.3	20636	10237.4	11839.2	20204	17420.9	15971.3	18854.4
P07737	PROF1_HUMAN	PFN1	Profilin-1	828646	908002	134450	891330	295875	662462	72113	186844	128768	89831.2	74970.4	70389.4	99765.9	117738	132606	223458	29746.8	190190	842438	79008.2	84202.4	422623	311157	302008	181204	281999	467056	28050.9	429021	381998	78161.2	46510.4	56763.1	528490	42305.8	21856	65578.3	57836	177352	137776	274079	263063	94949.8	74193.4	935246	214406	223018	195836
P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	8859.4	7558.25		8675.9	12424.9	11393.5	7645.36	5898.5				7081.63				11072.3	10320.6	5415.48	8468.88	10392.8	9596.84	35961.6		2730.35	8169.6	3415.8	4338.54	8258.5					4791.12	5434.04	20150.1			6527.23	2923.67		6766.83	18717.9		4149.39		3782.13		5877.67
P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	4237.89	3094.09			4794.92		1996.03									2233.88			5267.06			8786.72								3042.5				3172.25							1092.32	2685.99			5140.56		5439.68	
P07858	CATB_HUMAN	CTSB	Cathepsin B	11547.5	12931.4	17491.7	12875.1	22296.3	11935.2	30458.8	11635.8	21994	13384.3	24112.7	13471	35999.1	16346.2	15997.7	51711.4	20904.8	15448.5	15297.6	16744.8	16430.1	7665.16	30407.2	12164.3	7460.44	21342	33024.4	22866.3	41535.7	38092.1	13541.5	22473.4	21203.6	14056.7	56958.8	34652	31514.1	26867.8	20926.5	27641.6	19208.9	26529.7	12523.7	23503.9	60560.2	21665.2	20072.7	20680.5
P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	100117	103498	32441.6	107678	52092.7	47030.4	50102	34777.4	27044.1	29679.8	35403.9	50470.3	37021.9	49270.8	35905.2	92866.8	26349.7	62648.1	222155	86805.7	95071.7	109009	94251.9	182412	83481.4	98361.7	58726.2	35636.2	57519.6	54295	27545.1	28169.3	31960.5	101502	131901	28601.7	79163.1	38054	56625.9	68773.8	118957	150205	38159.2	59674.7	97414.5	78869.9	79599.8	78129.9
P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	38207.3	37925.4	26352.1	53584.6	19570	24202.6	18062.6	21723.6	29076	16524.8	12855.3	7928.86	6793.19	7137.8	6414.4	26596.6	3142.84	8951.94	143878	9470.53	10100.7	17469.7	8142.35	35312.7	15836.7	8805.53	7520.48		13155.4	10616.2			7287.02	24865	10786.3	2855.69	15471.3	13484.4	17360.1	19048.4	10851.2	13189.6	8039.13	10736.1	16239.1	23242.5	29268.8	25807.1
P07911	UROM_HUMAN	UMOD	Uromodulin	2832.04	4046.97	9707.83	3273.46	3466.35	2090.57	3847.26	3362.59	6257.08		1678.49	4281.13	2857.44		2662.58	2481.1	7909.21	4342.66		5155.84	3925.95				1862.71		5166.07	6285.73	6028.3	3416.34	5925.87	6138.59	3995.75	2449.37	4714.69	3009.83		2264.21	8087.4		5384.89	8615.3	5963.34	1963.61	1947.03	1698.67	2365.33	3437.1
P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	43408.7	46013.8	35754.3	35985.9	73395.9	44744.7	50704.9	30509.1	38133.2	29925.7	52654.1	59442.8	39063.6	39015.1	27887.3	50013.3	50800.7	35819.5	62370.4	30650.7	30469.1	62121.3	54842.7	75874.1	55288.5	55922	60415	37852.5	58287.4	58354.9	27962.5	42151.2	43661.8	39304.2	109774	66808.9	42690.7	65772.1	45006.6	43437.6	74786.3	89423.8	34658.6	71137	77680.5	40500.7	43612.8	43017.6
P07951	TPM2_HUMAN	TPM2	Tropomyosin beta chain	23618	16922.9		26580.4	24829.7	45652.2		42193.4		14968.5	17031.7			34595.3	19224.3	68143.3		20814.2	14416.4	19975	35359.6	29536.7			20234		36191.8		52764.6	56383.8		11353.8	6452.51	80918.2	8400.78	5996.61	12588.9				11898.3		13891.9	10055.1	49362.4	31865.2	16577.3	34733.7
P07988	PSPB_HUMAN	SFTPB	Pulmonary surfactant-associated protein B	20548.9	17525.2	11617.6	18190.7	8384.07	2014.81	7489.44	8792.19	9947.34	5027.38	14745.3	13105.8	8391.46	23841.6	6741.04	17197.8	18420.9	21448	265078	31767.7	34033.1	15873.8	12247.2	19388.8	49456.8	10485.9	3140.28	14264.8	4736.91	3478.86	3527.4	3740.89		9679.71	79803.9	36863.6	54825.2	14520.7	11969.9	11339	27193.2	32353.5	4694.16	36268.2		38475	37414.6	44380.4
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	3.74628e+06	4.08129e+06	5.89604e+06	3.99933e+06	1.70478e+06	6.49266e+06	3.89428e+06	5.25832e+06	5.39977e+06	1.99721e+06	1.32612e+06	4.06052e+06	2.39977e+06	2.79297e+06	3.05688e+06	3.6849e+06	519473	1.38158e+06	590296	1.48531e+06	1.63533e+06	3.21324e+06	4.46523e+06	6.12274e+06	6.33755e+06	4.67704e+06	3.23315e+06	540849	3.49376e+06	3.31691e+06	2.41423e+06	3.63999e+06	4.09939e+06	4.27598e+06	136780	46536.6	717117	133073	1.02944e+06	1.04626e+06	3.24337e+06	1.49562e+06	3.06208e+06	386258	6.09529e+06	2.66254e+06	2.68127e+06	2.70242e+06
P08133	ANXA6_HUMAN	ANXA6	Annexin A6	793.657	1755.18							1505.65	2940.57						1934.07			4229.92					3003.45	639.983		1179.7		821.557	701.097				3027.94					2210.58	1268.61		1192.49						1061.93
P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	2.34852e+06	2.30904e+06	2.88376e+06	2.34181e+06	2.10318e+06	3.33549e+06	2.98826e+06	3.16546e+06	3.09338e+06	2.83588e+06	2.41209e+06	3.12988e+06	2.84013e+06	3.29228e+06	2.93363e+06	1.73706e+06	3.2818e+06	2.09112e+06	1.95304e+06	2.82726e+06	2.62736e+06	2.15417e+06	2.09012e+06	2.37203e+06	2.38161e+06	2.05215e+06	2.79309e+06	2.91779e+06	2.90379e+06	2.84014e+06	2.95621e+06	3.10442e+06	3.2431e+06	2.12019e+06	1.7675e+06	2.7713e+06	2.62743e+06	2.5157e+06	2.86988e+06	1.98483e+06	1.23809e+06	1.2241e+06	3.39105e+06	2.45121e+06	1.8769e+06	2.23126e+06	2.33278e+06	2.222e+06
P08195	4F2_HUMAN	SLC3A2	Amino acid transporter heavy chain SLC3A2	25177.1	23967.7	22460.8	24042.3	23426.7	25704	28899.6	34488.6	29182.5	18322.5	16578.6	35174.1	25438.8	23889.6	23797.3	15849.3	29537.7	17430.8	19470.5	19127.1	15976.8	10040.3	18918.2	23237.3	21633.4	22954.5	23452.1	22159.4	22506.4	25007.7	28112	23878.1	19544	17576.7	31322.4	23280.8	16469.1	31519.1	31747.8	29402.6	19975.1	27462.8	18158.9	20357.4	24162	19863.5	18724.7	19111.5
P08217	CEL2A_HUMAN	CELA2A	Chymotrypsin-like elastase family member 2A			5139				13368.9		7472.61		39122.4	12775.9				3697.53	2332.46	15843.5		10903	5816.74	7836.98										22900.3	40846.6	35476.1			51347.8	3108.49			5474.65			24533.4			6541.94	
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	47032.3	50336.2	13514.7	49418.3	20846.5	17274.1	21208.1	10541.3	14550.5	11700.6	13724.9	18613.1	8167.18	22043.7	11414.5	33690.7	9451.36	27014.1	80599.4	29169.2	37932.4	35807	27303.9	65254.6	39359.1	33181.8	24747.1	11397.2	22906.4	23237.6	9075.22	13394.4	10564	47684.4	40368.6	12765.5	25236.1	14531.1	29236	24850.7	44472.9	44446.2	13055.7	21939.1	38807.5	32064.1	32291.3	31746.1
P08246	ELNE_HUMAN	ELANE	Neutrophil elastase														1780.52					7453.73								2432.42		2111.31	1448.96				2703.82						1627.16	2421.54	822.669			1424.07		1389.73	2017.67
P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	48527.9	46707.2	38043.5	47309.9	186361	42653.7	37006.2	24596.3	29453.1	37969.7	21881.2	39825.4	31010.9	24567.9	26678.6	21021.9	46780.4	40940.9	34883.4	37221.8	38282.2	43531.5	45849.9	37440.9	32383.6	48996.5	68928.7	45789.3	69590.5	63597	33336.7	12764	22624.6	32506.4	91464.1	50923.7	29342.4	94368.8	74820.5	27134.7	100307	80970.3	45445.3	43341.8	107765	30356.6	30872.7	27858
P08254	MMP3_HUMAN	MMP3	Stromelysin-1	6348.39	5154.51		4403.97	14380.5					3972.62		4233.4		3706.44	3332.7	10460.1	4200.09		19693.7	4761.14	4165.4	10088.8	6226.21	10304.6	8321.62	7129.96	4132.86	6050.14	4280.08	4178.18	4506.99			8332.78	29165	10242.5	5040.85	23535.9	1953.92	7678.44	10852	19980.4	6988.17	10151.1	23155.8	6497.31	4904.37	6675.44
P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	314842	287090	205059	376880	3.09837e+06	139536	234979	156755	193162	139080	146132	236719	88083.9	158848	204683	916312	154709	155685	459459	145504	135153	909150	480359	441684	390531	542885	243928	176658	265087	235859	193271	284233	376380	194564	1.01509e+06	125190	108198	476474	145554	81810.1	279565	255010	140936	268816	580080	357732	330978	324090
P08311	CATG_HUMAN	CTSG	Cathepsin G	60629.9	66570	16290.9	59184.1	12072	32892.9	22548.1	35509.9	18673.2	105237	68304.5	17392.9	71810.2	51410.6	30852.6	176686		24265.1	479910	26228.9	24170.5	80227.9	15055.7	195440	104811	18721.6	52374.7		58932.9	52459.8	34999.1	21710.5	13636.4	89481.3			18681.3		25662.3	37931	60465.4	44056.6	20303.4	8991.94	71159.6	65722	76332.9	79630.6
P08319	ADH4_HUMAN	ADH4	All-trans-retinol dehydrogenase [NAD(+)] ADH4				2397.66			17649.2				3195.34	16324.5	13841.2	5298.18		9818.47				13472	15848.6			7456.86	27916.3		14803.2	2682.35	11595.1	8925.1		23815.9	30239	10050.2	44082.5		7934.66				5983.46	4661.44	6745.12	6774.88	8569.89	6926.67	10643.7	4926.96
P08493	MGP_HUMAN	MGP	Matrix Gla protein	22170.6	32273.6	42568.6	22359.8	37138.4	43888.8	56291.9	22752.6	26087.8	22646.5	48671.8	65511	65825.9	43691.1	49790.9	68578.1	54377.8	75235.2	11665	50117.6	81238.6	111022	174734	57628.6	77987.5	208605	13013.5	68329.5	10015.3	13069.9	29919.2	27241.7	27612.6	25474.2	47281.4	140575	145817	71930.7	13391.4	35316	46015.2	103479	21794.8	122051	45572.1	44136	49914.6	49180.2
P08514	ITA2B_HUMAN	ITGA2B	Integrin alpha-IIb	103671	100769	77283	94987.7	76822.1	143314	28882.2	138630	79207.8	22433	27139.2	27602.6	45504.1	91817.8	23671.3	31717		7340.27	18423.4	14489.2	12894.7	60538.8	19106.3	52700.8	24073.7	20311.3	82525	4359.48	89988.6	76730.1	13480.8	17022.1	25913.8	117750			6882.63		58118.5	21316.3	178051	18634.1	53199.4	7704.89	99721.8	24815.3	24133.9	26359.7
